#Date    MJD          VIS?  PAnom   PArange
19-09-26 58752.000000 True  275.145 269.988--280.301 
19-09-27 58753.000000 True  276.123 270.967--281.280 
19-09-28 58754.000000 True  277.102 271.946--282.259 
19-09-29 58755.000000 True  278.081 272.925--283.238 
19-09-30 58756.000000 True  279.061 273.904--284.217 
19-10-01 58757.000000 True  280.041 274.884--285.197 
19-10-02 58758.000000 True  281.021 275.864--286.177 
19-10-03 58759.000000 True  282.001 276.845--287.158 
19-10-04 58760.000000 True  282.982 277.826--288.139 
19-10-05 58761.000000 True  283.964 278.807--289.120 
19-10-06 58762.000000 True  284.945 279.788--290.102 
19-10-07 58763.000000 True  285.927 280.770--291.084 
19-10-08 58764.000000 True  286.909 281.753--292.066 
19-10-09 58765.000000 True  287.892 282.735--293.049 
19-10-10 58766.000000 True  288.875 283.718--294.032 
19-10-11 58767.000000 True  289.859 284.702--295.015 
19-10-12 58768.000000 True  290.842 285.686--295.999 
19-10-13 58769.000000 True  291.827 286.670--296.983 
19-10-14 58770.000000 True  292.811 287.655--297.968 
19-10-15 58771.000000 True  293.796 288.640--298.953 
19-10-16 58772.000000 True  294.782 289.625--299.938 
19-10-17 58773.000000 True  295.768 290.611--300.924 
19-10-18 58774.000000 True  296.754 291.597--301.911 
19-10-19 58775.000000 True  297.741 292.584--302.897 
19-10-20 58776.000000 True  298.728 293.571--303.885 
19-10-21 58777.000000 True  299.716 294.559--304.872 
19-10-22 58778.000000 True  300.704 295.547--305.860 
19-10-23 58779.000000 True  301.692 296.536--306.849 
19-10-24 58780.000000 True  302.681 297.525--307.838 
19-10-25 58781.000000 True  303.671 298.514--308.827 
19-10-26 58782.000000 True  304.661 299.504--309.817 
19-10-27 58783.000000 True  305.651 300.494--310.808 
19-10-28 58784.000000 True  306.642 301.485--311.798 
19-10-29 58785.000000 True  307.633 302.477--312.790 
19-10-30 58786.000000 True  308.625 303.469--313.782 
19-10-31 58787.000000 True  309.617 304.461--314.774 
19-11-01 58788.000000 True  310.610 305.454--315.767 
19-11-02 58789.000000 True  311.604 306.447--316.760 
19-11-03 58790.000000 True  312.597 307.441--317.754 
19-11-04 58791.000000 True  313.592 308.435--318.748 
19-11-05 58792.000000 True  314.587 309.430--319.743 
19-11-06 58793.000000 True  315.582 310.425--320.738 
19-11-07 58794.000000 True  316.578 311.421--321.734 
19-11-08 58795.000000 True  317.574 312.417--322.731 
19-11-09 58796.000000 True  318.571 313.414--323.728 
19-11-10 58797.000000 True  319.568 314.412--324.725 
19-11-11 58798.000000 True  320.566 315.410--325.723 
19-11-12 58799.000000 True  321.565 316.408--326.721 
19-11-13 58800.000000 True  322.564 317.407--327.720 
19-11-14 58801.000000 True  323.563 318.406--328.720 
19-11-15 58802.000000 True  324.563 319.406--329.720 
19-11-16 58803.000000 True  325.564 320.407--330.720 
19-11-17 58804.000000 True  326.565 321.408--331.721 
19-11-18 58805.000000 True  327.566 322.410--332.723 
19-11-19 58806.000000 True  328.568 323.412--333.725 
19-11-20 58807.000000 True  329.571 324.414--334.728 
19-11-21 58808.000000 True  330.574 325.418--335.731 
